uri,uri_code,pollutant_name,pollutant_code,definition,status
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2015,2015,Nickel (precip),Ni,Ni - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2016,2016,Chromium (precip),Cr,Cr - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2017,2017,Manganese (precip),Mn,Mn - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2018,2018,Arsenic (precip),As,As - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2044,2044,Total nitrogen (precip),NT,Total nitrogen in precipitation - recommended unit: mg N/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2063,2063,Zinc (precip),Zn,Zn - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2064,2064,Cobalt (precip),Co,Co - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2065,2065,Iron (precip),Fe,Fe - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2073,2073,Copper (precip),Cu,Cu - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2076,2076,acidity(pH) (precip),pH,pH - recommended unit: pH units,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/21,21,Toluene (air),C6H5-CH3,C6H5-CH3 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/22,22,Styrene (air),C6H5-CH=CH2,C6H5-CH=CH2 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/23,23,Acrylonitrile (air),CH2=CH-CN,CH2=CH-CN - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2380,2380,"Benzo(b,j,k)fluoranthene (precip)","Benzo(b,j,k)fluoranthene","Benzo(b,j,k)fluoranthene - recommended unit: ng/l",valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/24,24,1.3 Butadiene (air),CH2=CH-CH=CH2,CH2=CH-CH=CH2 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/25,25,Formaldehyde (air),HCHO,HCHO - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/26,26,Trichloroethylene (air),CHCl=CCl2,CHCl=CCl2 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/27,27,Tetrachloroethylene (air),C2Cl4,C2Cl4 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2770,2770,phosphate (precip),PO43-,PO43- - recommended unit: mg S/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2771,2771,Total phosphorus (precip),TP,Total phosphorus (precip),valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/28,28,Dichloromethane (air),CH2Cl2,CH2Cl2 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2861,2861,PFBA (precip),PFBA,PFBA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2862,2862,PFPeA (precip),PFPeA,PFPeA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2863,2863,PFHxA (precip),PFHxA,PFHxA - recommended unit: ng.l-1,valid
