SiteCode,SiteName,SiteType,SpeciesCode,SpeciesName,Latitude,Longitude
WA9,Wandsworth - Putney,Urban Background,PM25,PM2.5 Particulate,51.4650325059122,-0.215824580947572
WA7,Wandsworth - Putney High Street,Kerbside,NO2,Nitrogen Dioxide,51.463429,-0.215871
WA7,Wandsworth - Putney High Street,Kerbside,PM10,PM10 Particulate,51.463429,-0.215871
WA7,Wandsworth - Putney High Street,Kerbside,PM25,PM2.5 Particulate,51.463429,-0.215871
WAB,Wandsworth - Tooting High Street,Roadside,NO2,Nitrogen Dioxide,51.429331,-0.166524
WAB,Wandsworth - Tooting High Street,Roadside,PM10,PM10 Particulate,51.429331,-0.166524
WAB,Wandsworth - Tooting High Street,Roadside,PM25,PM2.5 Particulate,51.429331,-0.166524
CE2,Waterloo Place (The Crown Estate),Roadside,NO2,Nitrogen Dioxide,51.5075819137762,-0.133068372704093
CE2,Waterloo Place (The Crown Estate),Roadside,O3,Ozone,51.5075819137762,-0.133068372704093
CE2,Waterloo Place (The Crown Estate),Roadside,PM10,PM10 Particulate,51.5075819137762,-0.133068372704093
CE2,Waterloo Place (The Crown Estate),Roadside,PM25,PM2.5 Particulate,51.5075819137762,-0.133068372704093
WM5,Westminster - Covent Garden,Urban Background,NO2,Nitrogen Dioxide,51.5119769825798,-0.12162720332856
WM5,Westminster - Covent Garden,Urban Background,PM25,PM2.5 Particulate,51.5119769825798,-0.12162720332856
WMD,Westminster - Elizabeth Bridge,Roadside,NO2,Nitrogen Dioxide,51.4922482333024,-0.147114752900186
WMD,Westminster - Elizabeth Bridge,Roadside,PM25,PM2.5 Particulate,51.4922482333024,-0.147114752900186
WM0,Westminster - Horseferry Road,Urban Background,PM25,PM2.5 Particulate,51.494681,-0.131938
MY1,Westminster - Marylebone Road,Kerbside,CO,Carbon Monoxide,51.52254,-0.15459
MY1,Westminster - Marylebone Road,Kerbside,NO2,Nitrogen Dioxide,51.52254,-0.15459
MY1,Westminster - Marylebone Road,Kerbside,O3,Ozone,51.52254,-0.15459
MY1,Westminster - Marylebone Road,Kerbside,SO2,Sulphur Dioxide,51.52254,-0.15459
WM6,Westminster - Oxford Street,Kerbside,NO2,Nitrogen Dioxide,51.5139287404213,-0.152792701881935
WM6,Westminster - Oxford Street,Kerbside,PM10,PM10 Particulate,51.5139287404213,-0.152792701881935
WM6,Westminster - Oxford Street,Kerbside,PM25,PM2.5 Particulate,51.5139287404213,-0.152792701881935
WME,Westminster - Queens Park Gardens,Urban Background,PM25,PM2.5 Particulate,51.5286629697555,-0.20875365618309
