@MeasurementDateGMT,@LocalAuthorityName,@SiteCode,@SiteName,@SiteType,@SpeciesCode,@Value,@DateClosed,@DateOpened,@Latitude,@Longitude
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,BG1,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,TD0,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG3,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
,,BG2,,,NO2,,,,,
