@MeasurementDateGMT,@LocalAuthorityName,@SiteCode,@SiteName,@SiteType,@SpeciesCode,@Value,@DateClosed,@DateOpened,@Latitude,@Longitude
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
,,TD0,,,PM10,,,,,
