feature,importance,category
SK5_NO2_t-6,0.0002445640529440453,NO2
HP1_PM10_t-9,0.00024449333518926575,PM10
KC1_O3_t-11,0.00024371481273957862,O3
GN3_PM10_t-11,0.00024343872577612633,PM10
GR7_NO2_t-4,0.0002433235695585113,NO2
HP1_O3_t-11,0.00024326150617892802,O3
HP1_NO2_t-10,0.00024261252575930948,NO2
BT5_NO2_t-7,0.00024231722586637267,NO2
ME9_NO2_t-5,0.00024218138153401757,NO2
GR7_PM10_t-10,0.0002412707369280482,PM10
EA8_NO2_t-5,0.00024101301139728705,NO2
BX1_O3_t-9,0.00024090430593126576,O3
EI1_NO2_t-12,0.00024043635083896027,NO2
BT6_NO2_t-9,0.00024037567385177844,NO2
SK5_NO2_t-9,0.00024016524481348744,NO2
HP1_NO2_t-6,0.00023989439164159556,NO2
KC1_NO2_t-10,0.00023955311219307405,NO2
GN0_NO2_t-11,0.00023946126227746304,NO2
GR7_PM10_t-2,0.0002393552044650025,PM10
GN6_NO2_t-7,0.00023934200450735575,NO2
GR9_NO2_t-11,0.00023931706463268593,NO2
IS6_NO2_t-5,0.00023832364206531598,NO2
GR7_NO2_t-10,0.00023783434208781763,NO2
HP1_PM10_t-12,0.00023743896318028287,PM10
KC1_NO2_t-12,0.0002374243365065059,NO2
GN0_NO2_t-7,0.00023661218004742166,NO2
BT6_NO2_t-12,0.0002365417303186512,NO2
EN5_NO2_t-6,0.00023622449385349268,NO2
GR7_PM10_t-3,0.00023618152256248858,PM10
EN1_NO2_t-5,0.00023606447627966373,NO2
HP1_PM10_t-3,0.00023567405014020113,PM10
GN3_PM10_t-10,0.00023541263320524695,PM10
GN6_NO2_t-8,0.00023527467563444682,NO2
EA8_NO2_t-9,0.00023501577445471047,NO2
GR7_PM10_t-6,0.00023473043804477002,PM10
GN0_NO2_t-10,0.00023405696382038752,NO2
BT4_PM10_t-8,0.00023392082256488167,PM10
GN6_NO2_t-12,0.000233907501304218,NO2
EA8_NO2_t-12,0.0002338625324696776,NO2
