target,site,pollutant,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,n_estimators,max_depth,min_samples_split,min_samples_leaf
BT5_NO2,BT5,NO2,0.8988887048391034,0.03542814360520848,0.026321936529793935,0.8377132879487601,0.046969192649305824,0.03375301553328969,0.7275850414062852,0.038543001738258566,0.027393723518542794,100,10,5,2
BT5_PM10,BT5,PM10,0.8455979247339221,0.02085136358176372,0.013838297030252493,0.6683638999106218,0.03341186003303858,0.020698964825939813,0.6095084183101576,0.03196675567641806,0.017639083611383225,100,10,5,1
BT5_PM25,BT5,PM25,0.8634509876271509,0.01823529559031442,0.011315287134787699,0.7031077736659394,0.05291476286190868,0.028910832194830937,0.4941122118093303,0.02165163901153203,0.013074497003924842,100,10,2,1
BT6_NO2,BT6,NO2,0.9406106724895472,0.0313765478790253,0.023476851763704287,0.899095382660008,0.042980249181868095,0.029665356228325696,0.8037310200929725,0.036799439070848185,0.02625835159785273,100,10,5,2
BT6_PM10,BT6,PM10,0.8509981072418606,0.013945572512200641,0.009730587990016974,0.631159239445538,0.03021661364192957,0.014322553857131078,0.5491728237201292,0.016312650433014043,0.010844249170785462,100,10,5,1
BT6_PM25,BT6,PM25,0.8832143710225863,0.012090100456321399,0.007397920031561934,0.7030778738440349,0.04034397299758392,0.0204090211456526,0.5507437411944094,0.02225000453398195,0.013899171664997226,100,10,2,1
BT8_NO2,BT8,NO2,0.8952693920138384,0.029146326928165548,0.020935232895012108,0.8664622969645641,0.03893916051040099,0.027500073354378023,0.7284748250344719,0.031406179726360575,0.023007705531222944,100,10,5,2
BT8_PM10,BT8,PM10,0.868622762504274,0.014120347621723317,0.010614094870541805,0.81850023335445,0.02122615706843087,0.015020223696100706,0.5849084536536913,0.017180760290937257,0.011959987821417887,100,10,5,1
BT8_PM25,BT8,PM25,0.8748260040202125,0.023447037481210388,0.015280622652361167,0.851146421479527,0.04669302698780623,0.03446671355431278,0.6028427893403441,0.03677493482333453,0.026664232657201657,100,10,2,1
BX1_NO2,BX1,NO2,0.9433764277589588,0.024531018695589442,0.01661275610246785,0.8965730264806254,0.036505045349842544,0.02303368547812008,0.8156403385644648,0.033900126225367797,0.020759664776374653,100,10,5,2
BX1_O3,BX1,O3,0.9648826162952564,0.02459355417905252,0.018111059337771355,0.9273152173705548,0.038093082498868946,0.02670250727434535,0.9227457769454284,0.030955214472156038,0.02187964639540693,100,10,5,1
BX1_SO2,BX1,SO2,0.8468842108210204,0.00891485394069596,0.002607068782031057,0.6617741329799066,0.025915608012534886,0.007296695402591382,0.8995546462440314,0.015337524490387413,0.008646486671394036,100,10,5,2
BX2_NO2,BX2,NO2,0.9435278185253356,0.030232215890047712,0.020677160713291433,0.8607168180559386,0.06050217116427125,0.037837468794767466,0.8230813198274086,0.03654273787965613,0.022710689338659253,100,10,5,2
BX2_PM10,BX2,PM10,0.9123120732293978,0.01296258540214312,0.007607977472861526,0.8676289443402844,0.023146360405582572,0.01363081208785376,0.5725788075561025,0.023584107190407214,0.00995988271517705,100,10,5,1
