target,category,train_r2,val_r2,test_r2,test_rmse,test_mae,gap,is_broken,performance
London_Bexley_PM10,Regulatory,0.9459662126273203,0.9060044680385724,0.7721495524516102,0.020610001325138346,0.01066211048653878,0.039961744588747905,False,good
London_Bloomsbury_NO,Nitrogen,0.94747069189416,0.8405990090060036,0.6104045685970272,0.0068297426255152305,0.0025465029562069257,0.1068716828881564,False,moderate
London_Bloomsbury_NO2,Regulatory,0.9373511276752062,0.8742636061053457,0.8025724374841594,0.04123469800607972,0.027895587644988146,0.06308752156986053,False,good
London_Bloomsbury_NOx,Nitrogen,0.9458388537144191,0.8763076309310034,0.7725072678873882,0.011487648960482329,0.007123607706559408,0.06953122278341572,False,good
London_Bloomsbury_O3,Regulatory,0.962738365402649,0.9386593624507106,0.9170046617275178,0.031975222686668144,0.02224414971292235,0.024079002951938433,False,good
London_Bloomsbury_PM10,Regulatory,0.9204259701290687,0.9295462011207309,0.7213607622241862,0.016439881988085374,0.008595437709029987,-0.00912023099166226,False,good
London_Bloomsbury_PM25,Regulatory,0.9695545456026065,0.9342161028671992,0.8688686865392307,0.01751061308792462,0.010260654217639609,0.035338442735407205,False,good
London_Bloomsbury_SO2,Regulatory,0.8437619868937014,0.2987932207546927,0.9152796722179006,0.004396784497641239,0.002176819833500932,0.5449687661390087,False,good
London_Haringey_Priory_Park_South_NO,Nitrogen,0.9505632612951803,0.8348617915412095,0.39851735351786255,0.0068262864071550996,0.0017446074558692298,0.11570146975397078,False,poor
London_Haringey_Priory_Park_South_NO2,Regulatory,0.9534091224314231,0.9025545871277181,0.8548030163785654,0.029705563607100024,0.02003406197971182,0.050854535303704984,False,good
London_Haringey_Priory_Park_South_NOx,Nitrogen,0.9621733711156126,0.8978928212597412,0.7864448883973296,0.008735188662035138,0.004914049779657477,0.0642805498558714,False,good
London_Haringey_Priory_Park_South_O3,Regulatory,0.9779475636122552,0.9557934969941986,0.9395222557666186,0.0262097422946557,0.016493136494827948,0.022154066618056634,False,good
London_Harlington_NO,Nitrogen,0.9652100999741856,0.8796430874103698,0.7871230478971818,0.011787639168341607,0.005617176239051524,0.08556701256381583,False,good
London_Harlington_NO2,Regulatory,0.9180400785174602,0.8543107337048653,0.7757211660913098,0.036827477777920996,0.025169416264951044,0.06372934481259485,False,good
London_Harlington_NOx,Nitrogen,0.9490764506467062,0.8805267596645064,0.7815112492248869,0.01782901049650086,0.01128354379557769,0.06854969098219976,False,good
London_Harlington_O3,Regulatory,0.9597486566749857,0.9292131905169377,0.9129150475123369,0.03738054926814027,0.02690868318958606,0.03053546615804792,False,good
London_Harlington_PM10,Regulatory,0.8820515434144693,0.8564210303378839,0.5957533224634082,0.0042162104173128,0.0021310224696342427,0.02563051307658548,False,moderate
London_Harlington_PM25,Regulatory,0.9643115629115313,0.9196218790228874,0.8883913917550248,0.009233610345167991,0.005585585106548735,0.044689683888643916,False,good
London_Hillingdon_NO,Nitrogen,0.9307201166499488,0.7717611498655856,0.7883147260283443,0.012250392851993773,0.006582403635450481,0.15895896678436316,False,good
London_Hillingdon_NO2,Regulatory,0.9114390750682957,0.8577097840856155,0.8138918880397096,0.039743798430089954,0.027936558673863052,0.0537292909826802,False,good
London_Hillingdon_NOx,Nitrogen,0.9239148038252922,0.8203235405979198,0.8138834104086612,0.018140830454685626,0.011942006858266123,0.10359126322737244,False,good
London_Hillingdon_O3,Regulatory,0.9527715695020583,0.9244482114153953,0.900938430867758,0.04055673137981043,0.029571501127242973,0.028323358086662975,False,good
London_Hillingdon_PM10,Regulatory,0.9053698484612079,0.8338901260140928,0.5390003375602346,0.03455126435449393,0.013989409648546922,0.07147972244711509,False,moderate
London_Hillingdon_PM25,Regulatory,0.9629027446662243,0.9281922511329183,0.5546374918121526,0.04080745761501577,0.01123388880557792,0.03471049353330602,False,moderate
London_Honor_Oak_Park_O3,Regulatory,0.9823905324361011,0.9207531441433139,0.8947691859440661,0.05945291774173739,0.038769540093349625,0.0616373882927872,False,good
