SiteCode,SiteName,SpeciesCode,SpeciesDescription,ObjectiveType,Value,Unit,Guideline,Period,SiteSpeciesCount,SpeciesFrequency
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,33,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,28,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,29,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,27,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,33,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,35,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,19,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,14,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,15,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,2,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,42,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,18,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,29,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,18,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,18,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,50,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,97,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,97,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,98,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,98,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,97,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,96,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,98,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,98,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,98,N/A,N/A,N/A,4,6768
A30,Kingston - Kingston Bypass A3,PM10,PM10 Particulate,N/A,73,N/A,N/A,N/A,4,6768
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
BG1,Barking and Dagenham - Rush Green,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,2,8076
